"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Document Type","Publication Stage","Open Access","Source","EID"
"Li, X.; Wu, Y.; Jiang, X.; Guo, Z.; Gong, M.; Cao, H.; Liu, Y.; Jiang, D.; Sun, X.","Li, Xin (57775707200); Wu, Yunfei (57703120600); Jiang, Xinghua (57345097600); Guo, Zhihao (58950625500); Gong, Mingming (58154164300); Cao, Haoyu (57702859400); Liu, Yinsong (57223712406); Jiang, Deqiang (57219505693); Sun, Xing (56706675700)","57775707200; 57703120600; 57345097600; 58950625500; 58154164300; 57702859400; 57223712406; 57219505693; 56706675700","Enhancing Visual Document Understanding with Contrastive Learning in Large Visual-Language Models","2024","Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition","","","","15546","15555","19","10.1109/CVPR52733.2024.01472","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207252335&doi=10.1109%2FCVPR52733.2024.01472&partnerID=40&md5=6090d8fde72b9f19f774464ced2f9fee","Recently, the advent of Large Visual-Language Models (LVLMs) has received increasing attention across various domains, particularly in the field of visual document understanding (VDU). Different from conventional vision-language tasks, VDU is specifically concerned with text-rich scenarios containing abundant document elements. Nevertheless, the importance of fine-grained features remains largely unexplored within the community of LVLMs, leading to suboptimal performance in text-rich scenarios. In this paper, we abbreviate it as the fine-grained feature collapse issue. With the aim of filling this gap, we propose a contrastive learning framework, termed Document Object COntrastive learning (DoCo), specifically tailored for the downstream tasks of VDU. DoCo leverages an auxiliary multimodal encoder to obtain the features of document objects and align them to the visual features generated by the vision encoder of LVLM, which enhances visual representation in text-rich scenarios. It can represent that the contrastive learning between the visual holistic representations and the multimodal fine-grained features of document objects can assist the vision encoder in acquiring more effective visual cues, thereby enhancing the comprehension of text-rich documents in LVLMs. We also demonstrate that the proposed DoCo serves as a plug-and-play pre-training method, which can be employed in the pre-training of various LVLMs without inducing any increase in computational complexity during the inference process. Extensive experimental results on multiple benchmarks of VDU reveal that LVLMs equipped with our proposed DoCo can achieve superior performance and mitigate the gap between VDU and generic vision-language tasks. © 2024 IEEE.","Conference paper","Final","All Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85207252335"
"Liu, C.; Yin, K.; Cao, H.; Jiang, X.; Li, X.; Liu, Y.; Jiang, D.; Sun, X.; Xu, L.","Liu, Chaohu (58494040800); Yin, Kun (58621462700); Cao, Haoyu (57702859400); Jiang, Xinghua (57345097600); Li, Xin (57775707200); Liu, Yinsong (57223712406); Jiang, Deqiang (57219505693); Sun, Xing (56706675700); Xu, Linli (23669631700)","58494040800; 58621462700; 57702859400; 57345097600; 57775707200; 57223712406; 57219505693; 56706675700; 23669631700","HRVDA: High-Resolution Visual Document Assistant","2024","Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition","","","","15534","15545","14","10.1109/CVPR52733.2024.01471","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207039033&doi=10.1109%2FCVPR52733.2024.01471&partnerID=40&md5=40d31de8b80f27e0a230a484c3e6753b","Leveraging vast training data, multimodal large language models (MLLMs) have demonstrated formidable general visual comprehension capabilities and achieved remarkable performance across various tasks. However, their performance in visual document understanding still leaves much room for improvement. This discrepancy is primarily attributed to the fact that visual document understanding is a fine-grained prediction task. In natural scenes, MLLMs typically use low-resolution images, leading to a substantial loss of visual information. Furthermore, general-purpose MLLMs do not excel in handling document-oriented instructions. In this paper, we propose a High-Resolution Visual Document Assistant (HRVDA), which bridges the gap between MLLMs and visual document understanding. This model employs a content filtering mechanism and an instruction filtering module to separately filter out the content-agnostic visual tokens and instruction-agnostic visual tokens, thereby achieving efficient model training and inference for high-resolution images. In addition, we construct a document-oriented visual instruction tuning dataset and apply a multi-stage training strategy to enhance the model's document modeling capabilities. Extensive experiments demonstrate that our model achieves state-of-the-art performance across multiple document understanding datasets, while maintaining training efficiency and inference speed comparable to low-resolution models. © 2024 IEEE.","Conference paper","Final","","Scopus","2-s2.0-85207039033"
"van Landeghem, J.; Maity, S.; Banerjee, A.; Blaschko, M.; Moens, M.-F.; Llados, J.; Biswas, S.","van Landeghem, Jordy (57606479600); Maity, Subhajit (57209077786); Banerjee, Ayan (57215614021); Blaschko, Matthew B. (24829297300); Moens, Marie Francine (7005471657); Llados, Josep (6603062543); Biswas, Sanket (57226196113)","57606479600; 57209077786; 57215614021; 24829297300; 7005471657; 6603062543; 57226196113","DistilDoc: Knowledge Distillation for Visually-Rich Document Applications","2024","Lecture Notes in Computer Science","14807 LNCS","","","195","217","5","10.1007/978-3-031-70546-5_12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204543479&doi=10.1007%2F978-3-031-70546-5_12&partnerID=40&md5=8bc596a8385fe97c8cf95e6893bc7c08","This work explores knowledge distillation (KD) for visually-rich document (VRD) applications such as document layout analysis (DLA) and document image classification (DIC). While VRD research is dependent on increasingly sophisticated and cumbersome models, the field has neglected to study efficiency via model compression. Here, we design a KD experimentation methodology† for more lean, performant models on document understanding (DU) tasks that are integral within larger task pipelines. We carefully selected KD strategies (response-based, feature-based) for distilling knowledge to and from backbones with different architectures (ResNet, ViT, DiT) and capacities (base-small-tiny). We study what affects the teacher-student knowledge gap and find that some methods (tuned vanilla KD, MSE, SimKD with an apt projector) can consistently outperform supervised student training. Furthermore, we design downstream task setups to evaluate covariate shift and the robustness of distilled DLA models on zero-shot layout-aware document visual question answering (DocVQA). DLA-KD experiments result in a large mAP knowledge gap, which unpredictably translates to downstream robustness, accentuating the need to further explore how to efficiently obtain more semantic document layout awareness.(† Code available at: https://github.com/Jordy-VL/DistilDoc_ICDAR24) © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.","Conference paper","Final","All Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85204543479"
"Zhu, W.; Healey, J.; Zhang, R.; Wang, W.Y.; Sun, T.","Zhu, Wanrong (57219762251); Healey, Jennifer A. (7202424024); Zhang, Ruiyi (57204807127); Wang, William Yang (57233559700); Sun, Tong (57219699023)","57219762251; 7202424024; 57204807127; 57233559700; 57219699023","Automatic Layout Planning for Visually-Rich Documents with Instruction-Following Models","2024","","","","","167","172","1","10.18653/v1/2024.alvr-1.14","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204479613&doi=10.18653%2Fv1%2F2024.alvr-1.14&partnerID=40&md5=95d14461e793380be8431d417ceee101","Recent advancements in instruction-following models have made user interactions with models more user-friendly and efficient, broadening their applicability. In graphic design, nonprofessional users often struggle to create visually appealing layouts due to limited skills and resources. In this work, we introduce a novel multimodal instruction-following framework for layout planning, allowing users to easily arrange visual elements into tailored layouts by specifying canvas size and design purpose, such as for book covers, posters, brochures, or menus. We developed three layout reasoning tasks to train the model in understanding and executing layout instructions. Experiments on two benchmarks show that our method not only simplifies the design process for non-professionals but also surpasses the performance of few-shot GPT-4V models, with mIoU higher by 12% on Crello (Yamaguchi, 2021). This progress highlights the potential of multimodal instruction-following models to automate and simplify the design process, providing an approachable solution for a wide range of design tasks on visually-rich documents. © 2024 Association for Computational Linguistics.","Conference paper","Final","","Scopus","2-s2.0-85204479613"
"Zhang, Y.; Chen, Y.; Zhu, J.; Xu, J.; Yang, S.; Wu, Z.; Huang, L.; Huang, Y.; Chen, S.","Zhang, Yunqi (59824887200); Chen, Yubo (58703966700); Zhu, Jingzhe (59171605100); Xu, Jinyu (57226332279); Yang, Shuai (57223114364); Wu, Zhaoliang (59172215300); Huang, Liang (58788673300); Huang, Yongfeng (14627673100); Chen, Shuai (59290566100)","59824887200; 58703966700; 59171605100; 57226332279; 57223114364; 59172215300; 58788673300; 14627673100; 59290566100","KnowVrDU: A Unified Knowledge-aware Prompt-Tuning Framework for Visually-rich Document Understanding","2024","","","","","9878","9889","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195973671&partnerID=40&md5=3c46de2049a3e2f0e7d57488555819d1","In Visually-rich Document Understanding (VrDU), recent advances of incorporating layout and image features into the pre-training language models have achieved significant progress. Existing methods usually developed complicated dedicated architectures based on pre-trained models and fine-tuned them with costly high-quality data to eliminate the inconsistency of knowledge distribution between the pre-training task and specialized downstream tasks. However, due to their huge data demands, these methods are not suitable for few-shot settings, which are essential for quick applications with limited resources but few previous works are presented. To solve these problems, we propose a unified Knowledge-aware prompt-tuning framework for Visual-rich Document Understanding (KnowVrDU) to enable broad utilization for diverse concrete applications and reduce data requirements. To model heterogeneous VrDU structures without designing task-specific architectures, we propose to reformulate various VrDU tasks into a single question-answering format with task-specific prompts and train the pre-trained model with the parameter-efficient prompt tuning method. To bridge the knowledge gap between the pre-training task and specialized VrDU tasks without additional annotations, we propose a prompt knowledge integration mechanism to leverage external open-source knowledge bases. We conduct experiments on several benchmark datasets in few-shot settings and the results validate the effectiveness of our method. © 2024 ELRA Language Resource Association: CC BY-NC 4.0.","Conference paper","Final","","Scopus","2-s2.0-85195973671"
"Ma, Y.; Zang, Y.; Chen, L.; Chen, M.; Jiao, Y.; Li, X.; Lu, X.; Liu, Z.; Ma, Y.; Dong, X.; Zhang, P.; Pan, L.; Jiang, Y.-G.; Wang, J.; Cao, Y.; Sun, A.","Ma, Yubo (57485133600); Zang, Yuhang (57219631614); Chen, Liangyu (58304845400); Chen, Meiqi (57271422200); Jiao, Yizhu (57211937974); Li, Xinze (58121980700); Lu, Xinyuan (58151160500); Liu, Ziyu (59505601200); Ma, Yan (59255153700); Dong, Xiaoyi (57215770324); Zhang, Pan (58262907700); Pan, Liangming (57114093200); Jiang, Yugang (14054081900); Wang, Jiaqi (59959599900); Cao, Yixin (57015851100); Sun, Aixin (7202552214)","57485133600; 57219631614; 58304845400; 57271422200; 57211937974; 58121980700; 58151160500; 59505601200; 59255153700; 57215770324; 58262907700; 57114093200; 14054081900; 59959599900; 57015851100; 7202552214","MMLONGBENCH-DOC: Benchmarking Long-context Document Understanding with Visualizations","2024","Advances in Neural Information Processing Systems","37","","","","","8","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000534551&partnerID=40&md5=692fa94137a0569250f096ab584e1b45","Understanding documents with rich layouts and multi-modal components is a long-standing and practical task. Recent Large Vision-Language Models (LVLMs) have made remarkable strides in various tasks, particularly in single-page document understanding (DU). However, their abilities on long-context DU remain an open problem. This work presents MMLONGBENCH-DOC, a long-context, multimodal benchmark comprising 1,082 expert-annotated questions. Distinct from previous datasets, it is constructed upon 135 lengthy PDF-formatted documents with an average of 47.5 pages and 21,214 textual tokens. Towards comprehensive evaluation, answers to these questions rely on pieces of evidence from (1) different sources (text, image, chart, table, and layout structure) and (2) various locations (i.e., page number). Moreover, 33.7% of the questions are cross-page questions requiring evidence across multiple pages. 20.6% of the questions are designed to be unanswerable for detecting potential hallucinations. Experiments on 14 LVLMs demonstrate that long-context DU greatly challenges current models. Notably, the best-performing model, GPT-4o, achieves an F1 score of only 44.9%, while the second-best, GPT-4V, scores 30.5%. Furthermore, 12 LVLMs (all except GPT-4o and GPT-4V) even present worse performance than their LLM counterparts which are fed with lossy-parsed OCR documents. These results validate the necessity of future research toward more capable long-context LVLMs. © 2024 Neural information processing systems foundation. All rights reserved.","Conference paper","Final","","Scopus","2-s2.0-105000534551"
"Wang, Z.; Zhou, Y.; Wei, W.; Lee, C.-Y.; Tata, S.","Wang, Zilong (57221155226); Zhou, Yichao (57830742700); Wei, Wei (57203031737); Lee, Chenyu (57219741997); Tata, Sandeep (57871521300)","57221155226; 57830742700; 57203031737; 57219741997; 57871521300","VRDU: A Benchmark for Visually-rich Document Understanding","2023","Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining","","","","5184","5193","16","10.1145/3580305.3599929","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171385003&doi=10.1145%2F3580305.3599929&partnerID=40&md5=6e50ecd48673fbe457973e788966222a","Understanding visually-rich business documents to extract structured data and automate business workflows has been receiving attention both in academia and industry. Although recent multi-modal language models have achieved impressive results, we find that existing benchmarks do not reflect the complexity of real documents seen in industry. In this work, we identify the desiderata for a more comprehensive benchmark and propose one we call Visually Rich Document Understanding (VRDU). VRDU contains two datasets that represent several challenges: rich schema including diverse data types as well as hierarchical entities, complex templates including tables and multi-column layouts, and diversity of different layouts (templates) within a single document type. We design few-shot and conventional experiment settings along with a carefully designed matching algorithm to evaluate extraction results. We report the performance of strong baselines and offer three observations: (1) generalizing to new document templates is still very challenging, (2) few-shot performance has a lot of headroom, and (3) models struggle with hierarchical fields such as line-items in an invoice. We plan to open source the benchmark and the evaluation toolkit. We hope this helps the community make progress on these challenging tasks in extracting structured data from visually rich documents. © 2023 Owner/Author.","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85171385003"
"Lin, Z.; Wang, J.; Jin, L.","Lin, Zening (58614985200); Wang, Jiapeng (57219764141); Jin, Lianwen (7403329268)","58614985200; 57219764141; 7403329268","Visual information extraction deep learning method：a critical review; 视觉信息抽取的深度学习方法综述","2023","Journal of Image and Graphics","28","8","","2276","2297","4","10.11834/jig.220904","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172105355&doi=10.11834%2Fjig.220904&partnerID=40&md5=eee4bfe7bddd9d269ba6c78ab466fbb1","A huge amount of big data-driven documents are required to be digitalized，stored and distributed in relation to images contexts. Such of application scenarios are concerned of document images-oriented key information，such as receipt understanding，card recognition，automatic paper scoring and document matching. Such process is called visual information extraction（VIE），which is focused on information mining，analysis，and extraction from visually rich documents. Documents-related text objects are diverse and varied，multi-language documents can be also commonly-used incorporated with single language scenario. Furthermore，text corpus differs from field to field. For example，a difference in the text content is required to be handled between legal files and medical documents. A complex layout may exist when a variety of visual elements are involved in a document，such as pictures，tables，and statistical curves. Unreadable document images are often derived and distorted from such noises like ink，wrinkles，distortion，and illumination. The completed pipeline of visual information extraction can be segmented into four steps：first，a pre-processing algorithm should be applied to remove the problem of interference and noise in a manner of correction and denoising. Second，document image-derived text strings and their locations contexts may be extracted in terms of text detection and recognition methods. Subsequently，multimodal feature extraction is required to perform high-level calculation and fusion of text，layout and visual features contained in visually rich documents. Finally，entity category parsing is applied to determine the category of each entity. Existed methods are mainly focused on the latter of two steps，while some take text detection and recognition into account. Early works are concerned of querying key information manually via rule-based methods. The effectiveness of these algorithms is quite lower，and they have poor generalization performance as well. The emerging deep learning technique-based feature extractors like convolutional neural networks and Transformers are linked with depth features for the optimization of performance and efficiency. In recent years，deep learning based methods have been widely applied in real scenarios. To sum up，we review deep-learning-based VIE methods and public datasets proposed in recent years，and these algorithms can be classified by their main characteristics. Recent deep-learning-based VIE methods proposed can be roughly categorized into six types of methods relevant to such contexts of grid-based，graph-neural-network-based （GNN-based），Transformer-based，end-to-end，few-shot，and the related others. Grid-based methods are focused on taking the document image as a two-dimensional matrix，pixels-inner text bounding box are filled with text embedding，and the grid representation can be formed for deep processing. Grid-based methods are often simple and have less computational cost. However，its representation ability is not strong enough，and features of text regions in small size may not be fully exploited. GNN-based methods take text segments as graph nodes，relations between segment coordinates are encoded for edge representations. Such graph convolution-related operations are applied for feature extraction further. GNN-based schemes achieve a good balance between cost and performance，but some characteristics of GNN itself like over-smoothing and gradient vanishing are often challenged to train the model. Transformer-based methods achieve outstanding performance through pretraining with a vast amount of data. These methods are preferred to have powerful generalizability，and it can be applied for multiple scenarios extended to other related document understanding tasks. However，these computational models are often costly and computing resources are required to be optimized. A more efficient architecture and pre-training strategy is still as a challenging problem to be resolved. The VIE is a mutual-benefited process，and text detection and recognition optical character recognition（OCR）are needed as prerequisites. The OCR-attainable problems like coordinate mismatches and text recognition errors will affect the following steps as well. Such end-to-end paradigms can be traced to optimize the OCR error accumulation to some extent. Few-shot methods-related structures can be used to enhance the generalization ability of models efficiently，and intrinsic features can be exploited to some extend in term of a small number of samples only. First，the growth of this research domain is reviewed and its challenging contexts can be predicted as well. Then，recent deep learning based visual information extraction methods and their contexts are summarized and analyzed. Furthermore，multiple categories-relevant methods are predictable，while the algorithm flow and technical development route of the representative models are further discussed and analyzed. Additionally，features of some public datasets are illustrated in comparison with the performance of representative models on these benchmarks. Finally，research highlights and limitations of each sort of model are laid out，and future research direction is forecasted as well. © 2023 Chinese Institute of Food Science and Technology. All rights reserved.","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85172105355"
"Yang, X.; Men, G.; Yin, C.","Yang, Xieliu (56523550400); Men, Guowen (58905620700); Yin, Chenyu (57219241993)","56523550400; 58905620700; 57219241993","A Deep Learning-based Multi-language Document Layout Analysis Method","2023","IET Conference Proceedings","2023","30","","193","197","0","10.1049/icp.2023.3309","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188269980&doi=10.1049%2Ficp.2023.3309&partnerID=40&md5=5be322e0204cf0536e5cc9ff22364849","Layout analysis of complex layout documents is significant for document understanding systems and is still a challenging task. A deep learning-based layout analysis method is proposed for contemporary printed documents in this paper. The network is developed from Mask-RCNN and the standard convolution structure in Mask-RCNN is replaced by deformable convolution network (DCN) to improve the location accuracy of the segmentation contour. Transfer learning is employed to solve the few-shot problem and the fine-tune mode is investigated. The network is pre-trained on the PubLayNet dataset and fine-tuned on the ICDAR2009 dataset. Experiments show that the proposed method outperforms the tested traditional method and is insensitive to language. © The Institution of Engineering & Technology 2023.","Conference paper","Final","","Scopus","2-s2.0-85188269980"
"","","","Findings of the Association for Computational Linguistics: EMNLP 2023","2023","","","","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183298223&partnerID=40&md5=9ad2dccaec0b14e8534a3df71ae61891","The proceedings contain 1060 papers. The topics discussed include: what makes chain-of-thought prompting effective? a counterfactual study; MenatQA: a new dataset for testing the temporal comprehension and reasoning abilities of large language models; perceptual structure in the absence of grounding for LLMs: the impact of abstractedness and subjectivity in color language; a dataset for investigating the impact of context for offensive language detection in tweets; remember what you did so you know what to do next; an empirical study of multimodal model merging; learning to abstract with nonparametric variational information bottleneck; global structure knowledge-guided relation extraction method for visually-rich document; learning to compose representations of different encoder layers towards improving compositional generalization; and SELECTNOISE: unsupervised noise injection to enable zero-shot machine translation for extremely low-resource languages.","Conference review","Final","","Scopus","2-s2.0-85183298223"
"Fujinuma, Y.; Varia, S.; Sankaran, N.; Min, B.; Appalaraju, S.; Vyas, Y.","Fujinuma, Yoshinari (57209002950); Varia, Siddharth (57215135516); Sankaran, Nishant (57188726336); Min, Bonan (23480129200); Appalaraju, Srikar (57208012672); Vyas, Yogarshi (56285717600)","57209002950; 57215135516; 57188726336; 23480129200; 57208012672; 56285717600","A Multi-Modal Multilingual Benchmark for Document Image Classification","2023","","","","","14361","14376","4","10.18653/v1/2023.findings-emnlp.958","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183294531&doi=10.18653%2Fv1%2F2023.findings-emnlp.958&partnerID=40&md5=bf983c396f0c0302ed8303ef20473fbd","Document image classification is different from plain-text document classification and consists of classifying a document by understanding the content and structure of documents such as forms, emails, and other such documents. We show that the only existing dataset for this task (Lewis et al., 2006) has several limitations and we introduce two newly curated multilingual datasets (WIKI-DOC and MULTIEURLEXDOC) that overcome these limitations. We further undertake a comprehensive study of popular visually-rich document understanding or Document AI models in previously untested setting in document image classification such as 1) multi-label classification, and 2) zero-shot cross-lingual transfer setup. Experimental results show limitations of multilingual Document AI models on cross-lingual transfer across typologically distant languages. Our datasets and findings open the door for future research into improving Document AI models. © 2023 Association for Computational Linguistics.","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85183294531"
"van Landeghem, J.; Tito, R.; Borchmann, Ł.; Pietruszka, M.; Jurkiewicz, D.; Powalski, R.; Józiak, P.; Biswas, S.; Coustaty, M.; Stanisławek, T.","van Landeghem, Jordy (57606479600); Tito, Rubèn (57215081168); Borchmann, Łukasz (57192829414); Pietruszka, Michał (57219766139); Jurkiewicz, Dawid (57219588709); Powalski, Rafał (57219636188); Józiak, Paweł (56531999800); Biswas, Sanket (57226196113); Coustaty, Mickaël (25631940800); Stanisławek, Tomasz (57188974746)","57606479600; 57215081168; 57192829414; 57219766139; 57219588709; 57219636188; 56531999800; 57226196113; 25631940800; 57188974746","ICDAR 2023 Competition on Document UnderstanDing of Everything (DUDE)","2023","Lecture Notes in Computer Science","14188 LNCS","","","420","434","9","10.1007/978-3-031-41679-8_24","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173577054&doi=10.1007%2F978-3-031-41679-8_24&partnerID=40&md5=fbc65088d0bc1f3f648973806a72f613","This paper presents the results of the ICDAR 2023 competition on Document UnderstanDing of Everything. DUDE introduces a new dataset comprising 5 K visually-rich documents (VRDs) with 40 K questions with novelties related to types of questions, answers, and document layouts based on multi-industry, multi-domain, and multi-page VRDs of various origins and dates. The competition was structured as a single task with a multi-phased evaluation protocol that assesses the few-shot capabilities of models by testing generalization to previously unseen questions and domains, a condition essential to business use cases prevailing in the field. A new and independent diagnostic test set is additionally constructed for fine-grained performance analysis. A thorough analysis of results from different participant methods is presented. Under the newly studied settings, current state-of-the-art models show a significant performance gap, even when improving visual evidence and handling multi-page documents. We conclude that the DUDE dataset proposed in this competition will be an essential, long-standing benchmark to further explore for achieving improved generalization and adaptation under low-resource fine-tuning, as desired in the real world. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2023.","Conference paper","Final","","Scopus","2-s2.0-85173577054"
"Wang, Z.; Zhang, Z.; Devlin, J.; Lee, C.-Y.; Su, G.; Zhang, H.; Dy, J.; Perot, V.; Pfister, T.","Wang, Zifeng (57215324239); Zhang, Zizhao (57020905500); Devlin, Jacob (54879967400); Lee, Chenyu (57219741997); Su, Guolong (57383417500); Zhang, Hao (57192482935); Dy, Jennifer G. (6603643756); Perot, Vincent (57210417906); Pfister, Tomas (36598926300)","57215324239; 57020905500; 54879967400; 57219741997; 57383417500; 57192482935; 6603643756; 57210417906; 36598926300","QueryForm: A Simple Zero-shot Form Entity Query Framework","2023","Proceedings of the Annual Meeting of the Association for Computational Linguistics","","","","4146","4159","3","10.18653/v1/2023.findings-acl.255","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173232752&doi=10.18653%2Fv1%2F2023.findings-acl.255&partnerID=40&md5=73dc0155db9d853b9107d20b0cf1988b","Zero-shot transfer learning for document understanding is a crucial yet under-investigated scenario to help reduce the high cost involved in annotating document entities. We present a novel query-based framework, QueryForm, that extracts entity values from form-like documents in a zero-shot fashion. QueryForm contains a dual prompting mechanism that composes both the document schema and a specific entity type into a query, which is used to prompt a Transformer model to perform a single entity extraction task. Furthermore, we propose to leverage large-scale query-entity pairs generated from form-like webpages with weak HTML annotations to pre-train QueryForm. By unifying pre-training and fine-tuning into the same query-based framework, QueryForm enables models to learn from structured documents containing various entities and layouts, leading to better generalization to target document types without the need for target-specific training data. QueryForm sets new state-of-the-art average F1 score on both the XFUND (+4.6%∼10.1%) and the Payment (+3.2%∼9.5%) zero-shot benchmark, with a smaller model size and no additional image input. © 2023 Association for Computational Linguistics.","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85173232752"
"Kong, Y.; Luo, C.; Ma, W.; Zhu, Q.; Zhu, S.; Yuan, N.; Jin, L.","Kong, Yuxin (57702173100); Luo, Canjie (57205363846); Ma, Weihong (57219766488); Zhu, Qiyuan (57702440000); Zhu, Shenggao (57223737809); Yuan, Nicholas Jing (55818206900); Jin, Lianwen (7403329268)","57702173100; 57205363846; 57219766488; 57702440000; 57223737809; 55818206900; 7403329268","Look Closer to Supervise Better: One-Shot Font Generation via Component-Based Discriminator","2022","Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition","2022-June","","","13472","13481","71","10.1109/CVPR52688.2022.01312","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136216918&doi=10.1109%2FCVPR52688.2022.01312&partnerID=40&md5=6b35413234479684f93c4e5ff4a74a52","Automatic font generation remains a challenging research issue due to the large amounts of characters with complicated structures. Typically, only a few samples can serve as the style/content reference (termed few-shot learning), which further increases the difficulty to preserve local style patterns or detailed glyph structures. We investigate the drawbacks of previous studies and find that a coarsegrained discriminator is insufficient for supervising a font generator. To this end, we propose a novel Component-Aware Module (CAM), which supervises the generator to decouple content and style at a more fine-grained level, i.e., the component level. Different from previous studies struggling to increase the complexity of generators, we aim to perform more effective supervision for a relatively simple generator to achieve its full potential, which is a brand new perspective for font generation. The whole framework achieves remarkable results by coupling component-level supervision with adversarial learning, hence we call it Component-Guided GAN, shortly CG-GAN. Extensive experiments show that our approach outperforms state-of-the-art one-shot font generation methods. Furthermore, it can be applied to handwritten word synthesis and scene text image editing, suggesting the generalization of our approach. © 2022 IEEE.","Conference paper","Final","","Scopus","2-s2.0-85136216918"
"","","","SDU 2022 - Proceedings of the Workshop on Scientific Document Understanding, co-located with 36th AAAI Conference on Artificial Inteligence, AAAI 2022","2022","CEUR Workshop Proceedings","3164","","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003105894&partnerID=40&md5=4750b8b96626f36ee6782c65157e2ac1","The proceedings contain 30 papers. The topics discussed include: neural architectures for biological inter-sentence relation extraction; coherence-based second chance autoencoders for document understanding; longitudinal citation prediction using temporal graph neural networks; zero-shot and few-shot classification of biomedical articles in context of the COVID-19 pandemic; fine-grained intent classification in the legal domain; domain adaptive pretraining for multilingual acronym extraction; sequence labeling for citation field extraction from Cyrillic script references; acronym identification using transformers and flair framework; and applying multi-task reading comprehension in acronym disambiguation.","Conference review","Final","","Scopus","2-s2.0-105003105894"
"Wei, M.; He, Y.; Zhang, Q.","Wei, Mengxi (57218714204); He, Yifan (57211947521); Zhang, Qiong (57208922961)","57218714204; 57211947521; 57208922961","Robust Layout-aware IE for Visually Rich Documents with Pre-trained Language Models","2020","","","","","2367","2376","42","10.1145/3397271.3401442","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090156625&doi=10.1145%2F3397271.3401442&partnerID=40&md5=82d8bdc686aca602fc3a683fce252d92","Many business documents processed in modern NLP and IR pipelines are visually rich: in addition to text, their semantics can also be captured by visual traits such as layout, format, and fonts. We study the problem of information extraction from visually rich documents (VRDs) and present a model that combines the power of large pre-trained language models and graph neural networks to efficiently encode both textual and visual information in business documents. We further introduce new fine-tuning objectives to improve in-domain unsupervised fine-tuning to better utilize large amount of unlabeled in-domain data. We experiment on real world invoice and resume data sets and show that the proposed method outperforms strong text-based RoBERTa baselines by 6.3% absolute F1 on invoices and 4.7% absolute F1 on resumes. When evaluated in a few-shot setting, our method requires up to 30x less annotation data than the baseline to achieve the same level of performance at ∼90% F1. © 2020 ACM.","Conference paper","Final","","Scopus","2-s2.0-85090156625"
